Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,18.09229088,16.40752029,,,,17.22545052,,,,,,,,,12.47535992,13.15192986,13.29638958,13.57052994,15.30206013,15.53950024,15.41742039,15.53145027,13.77132034,14.4981699,13.8549099,15.45088005,15.92683029,14.77202988,15.02233982,16.26272964,14.80897999,14.29273033,14.92718983,15.46874046,12.83718967,13.71910954,15.69075966,11.55000019,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1350708,,,,15.78971958,,,,,,29.23311996,,,21.41486931,18.49151039,16.07073021,18.89289093,13.35365009,,,,,11.47599983,10.28600025,10.47599983,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25592041,16.76194,,,19.76622963,,20.8404808,,17.54058075,18.32875061,18.24098969,15.88654995,14.21689987,15.15328026,16.12199974,14.77822971,16.28219032,16.74822998,17.84300995,16.41258049,17.56900024,15.15369987,17.09000015,15.11299992,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.08245659,,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.90589046,13.85188007,16.3537693,12.75156975,12.79800034,16.70001984,15.12972021,14.41047525,13.71621513,8.926670074,11.2300396,14.26386023,16.07828999,16.3245697,13.6362052,11.73301983,14.26937008,,17.17304993,19.11938095,17.55283928,14.50296974,15.35146523,15.2416296,16.15192986,16.1532445,16.17923975,15.43856049,14.32277012,14.61800003,13.82799482,11.71627045,13.72220993,13.06692982,7.921999931
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.47900009,16.52000046,15.80200005,15.26399994,14.93799973,13.56499958,12.65999985,14.22599983,16.6609993,15.96700001,16.95999908,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.13800049,21.85899925,,19.50200081,13.70199966,,,,15.31299973,15.27700043,12.41499996,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.92399979,14.95800018,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.40893459,14.49867535,14.79816532,15.59704685,15.09335613,15.52406216,14.87080097,14.00662994,14.78433514,11.31433487,13.86324215,14.63431835,14.41339111,11.79285622,13.50742531,12.93712711,12.73620987,,
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.22870922,11.82121181,10.67118263,10.52689266,10.43514729,10.58565712,10.63011456,10.16633415,10.6200428,10.6447258,10.49886131,9.933925629,10.43601036,11.26752949,11.84270382,10.74304962,10.87690353,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78028965,8.906779289,9.044315338,8.92984581,9.018068314,9.113441467,9.511645317,9.517230034,9.709711075,9.748104095,9.638143539,9.477829933,9.48073101,9.638201714,9.726378441,9.298440933,9.0661726,9.190701485,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.89607048,29.38595009,26.28001976,25.48930931,24.2714901,24.70113945,22.71504974,24.70796013,22.52743912,,,12.32839966,,17.07699966,17.31999969,17.74900055,8.576439857,12.00850964,13.25469971,13.99153042,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.11160088,11.41961956,,,,,,,,,,,,,,,,10.20800972,12.69799995,9.784000397,8.446000099,8.298299789,10.66617012,7.767000198,6.413000107,7.09100008
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.44361305,12.42493439,11.98038292,12.11152554,12.26772594,12.58372211,12.08395576,12.03017139,12.33083916,12.9065752,12.8566246,12.94861698,12.73631477,12.64840698,12.74289989,11.91557789,11.888381,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.39904022,13.2144804,11.61762047,10.70979023,,,,12.54104996,,,,,,,,,19.55900002,20.15600014,19.48500061,20.00900078,20.63400078,19.59399986,22.36300087,22.02499962
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02075958,,17.7689991,17.56500053,15.98400021,17.64599991,16.46899986,15.20300007,16.11100006,17.55599976,14.94900036,14.4630003,16.54899979,16.0510006,13.10200024,13.26099968
